店铺id,店铺名称,风格标签,店铺评分,月销量,配送费用（元）,配置起步价（元）,配送时长（分钟）,店铺地址
156037383,探鱼(欢乐颂店),川湘菜,4.8,170,8.5,20,39,深圳市南山区南头街道南新路3030号南山欢乐颂购物中心第二层L2F211号商铺
161192687,猿串（大新店）,地方小吃,5,424,9,20,39,深圳市南山区南头街道大新村福惠街83号
1130219,东北饺子,饺子馄饨,4.3,730,1,16,39,深圳市南山区白石路桂庙新村38号一楼
1264804,太清甜品(深大店),甜品,4.8,736,4,20,38,深圳市南山区粤海街道学府东路桂庙宿舍楼一楼4-21-1号商铺
1395224,盛京满族传统烧烤(南头店),烧烤,4.6,1974,0,20,48,深圳市南山区南头街道荔园路以南丽乐美居B栋109
161487040,阿姨烧烤店,烧烤,4.5,1127,6,38,39,深圳市南山区学府东路桂庙新村26栋一楼
157802305,贡茶（南山大道店）,地方小吃,4.7,3563,0,0,38,深圳市南山区南山街道海德二道新南村8-2号
1244435,浓农情怡鲜炖燕窝（深大店）,其他菜系,5,37,0,0,30,深圳市南山区粤海街道桂庙新村33号学府楼106号
1008698,TheONE炭茶(深大店),奶茶果汁,4.9,456,4,0,27,深圳市南山区粤海街道学府路桂庙新村71栋1楼
1534905,贡茶（南山中心店）,地方小吃,4.4,2314,0,0,47,深圳市南山区南头街道桃园西路大新村8号105铺
161581276,林记尚香蛋包饭,生煎锅贴,4.4,7715,4.5,20,44,深圳市南山区南山街道南光商业街正龙村5-1号
579718,Pelicana百利家炸鸡(海岸城店),炸鸡炸串,4.7,414,6.5,20,39,深圳市南山区粤海街道海岸大厦西座230
147206009,卡路里厨房(桂庙店),西餐,4.7,55,3,20,35,深圳市南山区粤海街道桂庙新村37栋西部校园风味美食街B8
639893,没有外卖,甜品,4.8,817,2,12,30,深圳市南山区粤海街道桂庙新村39栋左侧小铺
150855797,茅草屋烧烤(马家龙店),烧烤,4.6,526,2,20,41,深圳市南山区艺园路58栋旁
161708724,尊宝比萨（常兴路店）,披萨意面,4.8,228,5,30,38,深圳市南山区南头街道桃园路常丰花园B座首层2#铺位
317602,肯德基宅急送（高新区店）,炸鸡炸串,4.6,374,9,0,30,深圳市南山区高新区南区综合服务楼1楼餐厅东北角
22985,汉堡家,炸鸡炸串,4.7,1290,2,15,28,深圳市南山区粤海街道学府路桂庙新村37号-1号A7铺
355801,窑鸡王（桂庙店）,地方小吃,4.7,503,9,0,30,深圳市南山区粤海街道书山路3011-2号
161251731,拾壹小食小汽锅,香锅砂锅,4.8,631,6,20,29,深圳市南山区粤海街道桂庙新村学府城购物街35-1-12号
158812567,乐万家餐厅,盖浇饭,0,16,8,20,32,深圳市南山区粤海街道桂庙新村36-1
160725987,车前外带寿司(南山店),日韩料理,4.7,1254,5.5,20,41,深圳市南山区南山街道南光村84号104
1963241,二郎田鸡（桂庙店）,川湘菜,5,71,6.5,20,37,深圳市南山区桂庙路以北南山大道以东光彩新天地公寓108号铺A2
150160115,汉堡到家(南头店),炸鸡炸串,4.6,2814,4,22,38,深圳市南山区南头街道一甲村一甲楼1楼143号
155934926,港式滋补蒸鸡,鸭脖卤味,4.8,323,3,20,38,深圳市南山区南山街道南光村82栋102号
19946,串串香,地方小吃,4.7,2885,1,10,39,深圳市南山区学府路桂庙新村28--6
158725822,仙庙烧鸡(南头店),粤菜,4.9,100,7,20,37,深圳市南山区南头街道南头街旺海怡苑首层100-11
